name,rank,count,pct
SMITH,1,"2,442,977",0.020215
JOHNSON,2,"1,932,812",0.015994
WILLIAMS,3,"1,625,252",0.013449
BROWN,4,"1,437,026",0.011891
JONES,5,"1,425,470",0.011796
GARCIA,6,"1,166,120",0.009649
MILLER,7,"1,161,437",0.009611
DAVIS,8,"1,116,357",0.009238
RODRIGUEZ,9,"1,094,924",0.009060
MARTINEZ,10,"1,060,159",0.008773
HERNANDEZ,11,"1,043,281",0.008633
LOPEZ,12,"874,523",0.007237
GONZALEZ,13,"841,025",0.006959
WILSON,14,"801,882",0.006635
ANDERSON,15,"784,404",0.006491
THOMAS,16,"756,142",0.006257
TAYLOR,17,"751,209",0.006216
MOORE,18,"724,374",0.005994
JACKSON,19,"708,099",0.005859
MARTIN,20,"702,625",0.005814
LEE,21,"693,023",0.005735
PEREZ,22,"681,645",0.005641
THOMPSON,23,"664,644",0.005500
WHITE,24,"660,491",0.005465
HARRIS,25,"624,252",0.005166
SANCHEZ,26,"612,752",0.005070
CLARK,27,"562,679",0.004656
RAMIREZ,28,"557,423",0.004613
LEWIS,29,"531,781",0.004400
ROBINSON,30,"529,821",0.004384
WALKER,31,"523,129",0.004329
YOUNG,32,"484,447",0.004009
ALLEN,33,"482,607",0.003993
KING,34,"465,422",0.003851
WRIGHT,35,"458,980",0.003798
SCOTT,36,"439,530",0.003637
TORRES,37,"437,813",0.003623
NGUYEN,38,"437,645",0.003621
HILL,39,"434,827",0.003598
FLORES,40,"433,969",0.003591
GREEN,41,"430,182",0.003560
ADAMS,42,"427,865",0.003541
NELSON,43,"424,958",0.003516
BAKER,44,"419,586",0.003472
HALL,45,"407,076",0.003368
RIVERA,46,"391,114",0.003236
CAMPBELL,47,"386,157",0.003195
MITCHELL,48,"384,486",0.003182
CARTER,49,"376,966",0.003119
ROBERTS,50,"376,774",0.003118
GOMEZ,51,"365,655",0.003026
PHILLIPS,52,"360,802",0.002986
EVANS,53,"355,593",0.002942
TURNER,54,"348,627",0.002885
DIAZ,55,"347,636",0.002877
PARKER,56,"336,221",0.002782
CRUZ,57,"334,201",0.002765
EDWARDS,58,"332,423",0.002751
COLLINS,59,"329,770",0.002729
REYES,60,"327,904",0.002713
STEWART,61,"324,957",0.002689
MORRIS,62,"318,884",0.002639
MORALES,63,"311,777",0.002580
MURPHY,64,"308,417",0.002552
COOK,65,"302,589",0.002504
ROGERS,66,"302,261",0.002501
GUTIERREZ,67,"293,218",0.002426
ORTIZ,68,"286,899",0.002374
MORGAN,69,"286,280",0.002369
COOPER,70,"280,791",0.002324
PETERSON,71,"278,297",0.002303
BAILEY,72,"277,845",0.002299
REED,73,"277,030",0.002292
KELLY,74,"267,394",0.002213
HOWARD,75,"264,826",0.002191
RAMOS,76,"263,464",0.002180
KIM,77,"262,352",0.002171
COX,78,"261,231",0.002162
WARD,79,"260,464",0.002155
RICHARDSON,80,"259,798",0.002150
WATSON,81,"252,579",0.002090
BROOKS,82,"251,663",0.002082
CHAVEZ,83,"250,898",0.002076
WOOD,84,"250,715",0.002075
JAMES,85,"249,379",0.002064
BENNETT,86,"247,599",0.002049
GRAY,87,"246,116",0.002037
MENDOZA,88,"242,771",0.002009
RUIZ,89,"238,234",0.001971
HUGHES,90,"236,271",0.001955
PRICE,91,"235,251",0.001947
ALVAREZ,92,"233,983",0.001936
CASTILLO,93,"230,420",0.001907
SANDERS,94,"230,374",0.001906
PATEL,95,"229,973",0.001903
MYERS,96,"229,895",0.001902
LONG,97,"229,374",0.001898
ROSS,98,"229,368",0.001898
FOSTER,99,"227,764",0.001885
JIMENEZ,100,"227,118",0.001879
POWELL,101,"224,874",0.001861
JENKINS,102,"222,653",0.001842
PERRY,103,"221,741",0.001835
RUSSELL,104,"221,558",0.001833
SULLIVAN,105,"220,990",0.001829
