name,category,level
the,reserved,normie
of,reserved,normie
to,reserved,normie
and,reserved,normie
in,reserved,normie
that,reserved,normie
for,reserved,normie
said,reserved,normie
is,reserved,normie
mr,reserved,normie
on,reserved,normie
it,reserved,normie
was,reserved,normie
he,reserved,normie
with,reserved,normie
as,reserved,normie
at,reserved,normie
by,reserved,normie
have,reserved,normie
but,reserved,normie
from,reserved,normie
they,reserved,normie
not,reserved,normie
are,reserved,normie
be,reserved,normie
has,reserved,normie
his,reserved,normie
an,reserved,normie
who,reserved,normie
had,reserved,normie
this,reserved,normie
new,reserved,normie
their,reserved,normie
would,reserved,normie
which,reserved,normie
been,reserved,normie
were,reserved,normie
or,reserved,normie
more,reserved,normie
we,reserved,normie
one,reserved,normie
about,reserved,normie
will,reserved,normie
its,reserved,normie
its,reserved,normie
year,reserved,normie
than,reserved,normie
when,reserved,normie
people,reserved,normie
percent,reserved,normie
after,reserved,normie
all,reserved,normie
last,reserved,normie
there,reserved,normie
two,reserved,normie
up,reserved,normie
years,reserved,normie
out,reserved,normie
other,reserved,normie
she,reserved,normie
some,reserved,normie
if,reserved,normie
dole,reserved,normie
no,reserved,normie
like,reserved,normie
what,reserved,normie
state,reserved,normie
now,reserved,normie
also,reserved,normie
so,reserved,normie
most,reserved,normie
many,reserved,normie
time,reserved,normie
first,reserved,normie
into,reserved,normie
president,reserved,normie
city,reserved,normie
only,reserved,normie
can,reserved,normie
over,reserved,normie
million,reserved,normie
you,reserved,normie
them,reserved,normie
her,reserved,normie
could,reserved,normie
company,reserved,normie
because,reserved,normie
today,reserved,normie
government,reserved,normie
york,reserved,normie
american,reserved,normie
say,reserved,normie
do,reserved,normie
even,reserved,normie
party,reserved,normie
states,reserved,normie
clinton,reserved,normie
officials,reserved,normie
where,reserved,normie
those,reserved,normie
while,sup,normie
long,whitelist,normie
here,whitelist,normie
republican,whitelist,normie
united,whitelist,normie
much,whitelist,normie
three,whitelist,normie
federal,whitelist,normie
him,whitelist,normie
any,whitelist,normie
before,whitelist,normie
just,whitelist,normie
tax,whitelist,normie
did,whitelist,normie
national,whitelist,normie
work,whitelist,normie
may,whitelist,normie
made,whitelist,normie
under,whitelist,normie
group,whitelist,normie
still,whitelist,normie
world,whitelist,normie
house,whitelist,normie
being,whitelist,normie
make,whitelist,normie
since,whitelist,normie
week,whitelist,normie
then,whitelist,normie
money,whitelist,normie
way,whitelist,normie
how,whitelist,normie
re,whitelist,normie
off,whitelist,normie
day,whitelist,normie
ms,whitelist,normie
these,whitelist,normie
public,whitelist,normie
through,whitelist,normie
such,whitelist,normie
dr,whitelist,normie
down,whitelist,normie
welfare,whitelist,normie
campaign,whitelist,normie
bill,whitelist,normie
our,whitelist,normie
political,whitelist,normie
ago,whitelist,normie
yesterday,whitelist,normie
business,whitelist,normie
back,whitelist,normie
former,whitelist,normie
old,whitelist,normie
part,whitelist,normie
against,whitelist,normie
get,whitelist,normie
four,whitelist,normie
school,whitelist,normie
between,whitelist,normie
called,whitelist,normie
plan,whitelist,normie
companies,whitelist,normie
should,whitelist,normie
market,whitelist,normie
another,whitelist,normie
case,whitelist,normie
home,whitelist,normie
going,whitelist,normie
found,whitelist,normie
too,whitelist,normie
well,whitelist,normie
law,whitelist,normie
among,whitelist,normie
several,whitelist,normie
very,whitelist,normie
high,whitelist,normie
both,whitelist,normie
don,whitelist,normie
month,whitelist,normie
country,whitelist,normie
convention,whitelist,normie
billion,whitelist,normie
take,whitelist,normie
own,whitelist,normie
program,whitelist,normie
life,whitelist,normie
during,whitelist,normie
next,whitelist,normie
war,whitelist,normie
board,whitelist,normie
republicans,whitelist,normie
court,whitelist,normie
economic,whitelist,normie
including,whitelist,normie
news,whitelist,normie
office,whitelist,normie
street,whitelist,normie
few,whitelist,normie
children,whitelist,normie
director,whitelist,normie
without,whitelist,normie
number,whitelist,normie
come,whitelist,normie
far,whitelist,normie
might,whitelist,normie
police,whitelist,normie
same,whitelist,normie
used,whitelist,normie
five,whitelist,normie
industry,whitelist,normie
whether,whitelist,normie
sales,whitelist,normie
days,whitelist,normie
abortion,whitelist,normie
right,whitelist,normie
want,whitelist,normie
white,whitelist,normie
think,whitelist,normie
know,whitelist,normie
july,whitelist,normie
months,whitelist,normie
little,whitelist,normie
less,whitelist,normie
security,whitelist,normie
kemp,whitelist,normie
end,whitelist,normie
department,whitelist,normie
each,whitelist,normie
women,whitelist,normie
go,whitelist,normie
until,whitelist,normie
international,whitelist,normie
system,whitelist,normie
see,whitelist,normie
small,whitelist,normie
put,whitelist,normie
chief,whitelist,normie
amp,whitelist,normie
use,whitelist,normie
never,whitelist,normie
cut,whitelist,normie
general,whitelist,normie
building,whitelist,normie
already,whitelist,normie
good,whitelist,normie
help,whitelist,normie
members,whitelist,normie
recent,whitelist,normie
around,whitelist,normie
television,whitelist,normie
began,whitelist,normie
came,whitelist,normie
least,whitelist,normie
place,whitelist,normie
whose,whitelist,normie
major,whitelist,normie
local,whitelist,normie
investigators,whitelist,normie
issue,whitelist,normie
congress,whitelist,normie
often,whitelist,normie
america,whitelist,normie
center,whitelist,normie
my,whitelist,normie
big,whitelist,normie
times,whitelist,normie
second,whitelist,normie
us,whitelist,normie
budget,whitelist,normie
half,whitelist,normie
men,whitelist,normie
executive,whitelist,normie
set,whitelist,normie
mrs,whitelist,normie
based,whitelist,normie
told,whitelist,normie
power,whitelist,normie
large,whitelist,normie
water,whitelist,normie
administration,whitelist,normie
though,whitelist,normie
plane,whitelist,normie
evidence,whitelist,normie
black,whitelist,normie
pay,whitelist,normie
university,whitelist,normie
took,whitelist,normie
expected,whitelist,normie
left,whitelist,normie
growth,whitelist,normie
others,whitelist,normie
man,whitelist,normie
county,whitelist,normie
known,whitelist,normie
washington,whitelist,normie
lot,whitelist,normie
price,whitelist,normie
health,whitelist,normie
important,whitelist,normie
become,whitelist,normie
added,whitelist,normie
once,whitelist,normie
every,whitelist,normie
decision,whitelist,normie
although,whitelist,normie
six,whitelist,normie
find,whitelist,normie
says,whitelist,normie
nation,whitelist,normie
saying,whitelist,normie
rights,whitelist,normie
me,whitelist,normie
bomb,whitelist,normie
give,whitelist,normie
later,whitelist,normie
cuts,whitelist,normie
support,whitelist,normie
show,whitelist,normie
asked,whitelist,normie
night,whitelist,normie
early,whitelist,normie
won,whitelist,normie
atlanta,whitelist,normie
stock,whitelist,normie
enough,whitelist,normie
family,whitelist,normie
americans,whitelist,normie
olympic,whitelist,normie
military,whitelist,normie
best,whitelist,normie
families,whitelist,normie
making,whitelist,normie
weeks,whitelist,normie
minister,whitelist,normie
flight,whitelist,normie
summer,whitelist,normie
team,whitelist,normie
chairman,whitelist,normie
according,whitelist,normie
almost,whitelist,normie
does,whitelist,normie
policy,whitelist,normie
cost,whitelist,normie
community,whitelist,normie
service,whitelist,normie
hours,whitelist,normie
largest,whitelist,normie
corporation,whitelist,normie
mayor,whitelist,normie
fund,whitelist,normie
trying,whitelist,normie
need,whitelist,normie
call,whitelist,normie
official,whitelist,normie
must,whitelist,normie
nearly,whitelist,normie
late,whitelist,normie
agency,whitelist,normie
democratic,whitelist,normie
services,whitelist,normie
deal,whitelist,normie
committee,whitelist,normie
june,whitelist,normie
young,whitelist,normie
groups,whitelist,normie
real,whitelist,normie
games,whitelist,normie
shares,whitelist,normie
report,whitelist,normie
went,whitelist,normie
district,whitelist,normie
better,whitelist,normie
control,whitelist,normie
bank,whitelist,normie
air,whitelist,normie
again,whitelist,normie
working,whitelist,normie
leaders,whitelist,normie
given,whitelist,normie
away,whitelist,normie
area,whitelist,normie
airport,whitelist,normie
job,whitelist,normie
keep,whitelist,normie
announced,whitelist,normie
east,whitelist,normie
point,whitelist,normie
taxes,whitelist,normie
drug,whitelist,normie
foreign,whitelist,normie
run,whitelist,normie
side,whitelist,normie
woman,whitelist,normie
south,whitelist,normie
financial,whitelist,normie
rate,whitelist,normie
investigation,whitelist,normie
john,whitelist,normie
legal,whitelist,normie
democrats,whitelist,normie
interest,whitelist,normie
election,whitelist,normie
ve,whitelist,normie
held,whitelist,normie
line,whitelist,normie
bob,whitelist,normie
change,whitelist,normie
top,whitelist,normie
really,whitelist,normie
taken,whitelist,normie
vice,whitelist,normie
russian,whitelist,normie
free,whitelist,normie
crash,whitelist,normie
issues,whitelist,normie
hard,whitelist,normie
vote,whitelist,normie
presidential,whitelist,normie
something,whitelist,normie
charges,whitelist,normie
information,whitelist,normie
why,whitelist,normie
economy,whitelist,normie
crime,whitelist,normie
having,whitelist,normie
got,whitelist,normie
senior,whitelist,normie
care,whitelist,normie
prime,whitelist,normie
reported,whitelist,normie
effort,whitelist,normie
open,whitelist,normie
third,whitelist,normie
running,whitelist,normie
interview,whitelist,normie
different,whitelist,normie
agreed,whitelist,normie
food,whitelist,normie
look,whitelist,normie
clear,whitelist,normie
plans,whitelist,normie
problems,whitelist,normie
island,whitelist,normie
rather,whitelist,normie
west,whitelist,normie
past,whitelist,normie
commission,whitelist,normie
great,whitelist,normie
things,whitelist,normie
ever,whitelist,normie
platform,whitelist,normie
full,whitelist,normie
poor,whitelist,normie
programs,whitelist,normie
name,whitelist,normie
jobs,whitelist,normie
union,whitelist,normie
recently,whitelist,normie
insurance,whitelist,normie
benefits,whitelist,normie
